1770379907717917620 MemAvailable_kB=3905168 Dirty_kB=176 Writeback_kB=0 Slab_kB=53296 
1770379908720931595 MemAvailable_kB=3904864 Dirty_kB=192 Writeback_kB=0 Slab_kB=53312 
1770379909723936299 MemAvailable_kB=3903280 Dirty_kB=192 Writeback_kB=0 Slab_kB=53312 
1770379910726861082 MemAvailable_kB=3905472 Dirty_kB=192 Writeback_kB=0 Slab_kB=53312 
1770379911729798687 MemAvailable_kB=3903328 Dirty_kB=192 Writeback_kB=0 Slab_kB=53312 
1770379912732720354 MemAvailable_kB=3905456 Dirty_kB=256 Writeback_kB=0 Slab_kB=53312 
1770379913735677231 MemAvailable_kB=3902016 Dirty_kB=256 Writeback_kB=0 Slab_kB=53312 
1770379914738597393 MemAvailable_kB=3904688 Dirty_kB=256 Writeback_kB=0 Slab_kB=53312 
1770379915741554191 MemAvailable_kB=3903392 Dirty_kB=256 Writeback_kB=0 Slab_kB=53312 
1770379916744505569 MemAvailable_kB=3902816 Dirty_kB=256 Writeback_kB=0 Slab_kB=53312 
1770379917748547329 MemAvailable_kB=3870928 Dirty_kB=368 Writeback_kB=0 Slab_kB=54128 
1770379918750772310 MemAvailable_kB=3870448 Dirty_kB=384 Writeback_kB=16 Slab_kB=54176 
1770379919753171892 MemAvailable_kB=3872416 Dirty_kB=384 Writeback_kB=0 Slab_kB=54176 
1770379921025070159 MemAvailable_kB=3875184 Dirty_kB=384 Writeback_kB=0 Slab_kB=54176 
1770379922104603518 MemAvailable_kB=3828384 Dirty_kB=384 Writeback_kB=64 Slab_kB=54384 
1770379923107131190 MemAvailable_kB=3802160 Dirty_kB=384 Writeback_kB=0 Slab_kB=54528 
1770379924110165205 MemAvailable_kB=3772144 Dirty_kB=384 Writeback_kB=0 Slab_kB=54784 
1770379925113039912 MemAvailable_kB=3782976 Dirty_kB=384 Writeback_kB=0 Slab_kB=54896 
1770379926115353827 MemAvailable_kB=3779824 Dirty_kB=384 Writeback_kB=0 Slab_kB=54896 
1770379927138151394 MemAvailable_kB=3779904 Dirty_kB=384 Writeback_kB=0 Slab_kB=54896 
1770379928140306730 MemAvailable_kB=3780480 Dirty_kB=384 Writeback_kB=0 Slab_kB=54896 
1770379929142444184 MemAvailable_kB=3783472 Dirty_kB=160 Writeback_kB=0 Slab_kB=54896 
1770379930144818405 MemAvailable_kB=3796144 Dirty_kB=160 Writeback_kB=0 Slab_kB=54896 
1770379931147551451 MemAvailable_kB=3798240 Dirty_kB=160 Writeback_kB=0 Slab_kB=54928 
1770379932149780112 MemAvailable_kB=3809008 Dirty_kB=160 Writeback_kB=0 Slab_kB=54928 
1770379933152106818 MemAvailable_kB=3819168 Dirty_kB=160 Writeback_kB=0 Slab_kB=54928 
1770379934154373791 MemAvailable_kB=3829504 Dirty_kB=160 Writeback_kB=0 Slab_kB=54928 
1770379935156524715 MemAvailable_kB=3840832 Dirty_kB=544 Writeback_kB=0 Slab_kB=55024 
1770379936158952500 MemAvailable_kB=3848368 Dirty_kB=544 Writeback_kB=0 Slab_kB=55024 
1770379937161645108 MemAvailable_kB=3850896 Dirty_kB=560 Writeback_kB=0 Slab_kB=55024 
1770379938163854315 MemAvailable_kB=3853632 Dirty_kB=560 Writeback_kB=0 Slab_kB=55024 
1770379939166061047 MemAvailable_kB=3857072 Dirty_kB=560 Writeback_kB=0 Slab_kB=55024 
1770379940168146824 MemAvailable_kB=3867296 Dirty_kB=528 Writeback_kB=0 Slab_kB=54992 
1770379941170349146 MemAvailable_kB=3871504 Dirty_kB=544 Writeback_kB=0 Slab_kB=54992 
1770379942172742384 MemAvailable_kB=3875568 Dirty_kB=544 Writeback_kB=0 Slab_kB=54992 
1770379943175466132 MemAvailable_kB=3876496 Dirty_kB=544 Writeback_kB=0 Slab_kB=55056 
1770379944177715644 MemAvailable_kB=3872832 Dirty_kB=544 Writeback_kB=0 Slab_kB=55056 
