1771001308054875832 R2_IDLE_A seconds=60 actions=B
1771001368056800045 SKIP_PROBE_A seconds=60
1771001428058564207 R2_IDLE_B seconds=30 actions=B
1771001458062264646 PROBE_B_START program=low
1771001458156659610 PROBE_B_END program=low
1771001458359298343 PROBE_B_START program=low
1771001458444979215 PROBE_B_END program=low
1771001458647638041 PROBE_B_START program=low
1771001458740073075 PROBE_B_END program=low
1771001458942752474 PROBE_B_START program=low
1771001458981458050 PROBE_B_END program=low
1771001459184200024 PROBE_B_START program=low
1771001459215771568 PROBE_B_END program=low
1771001459418474745 PROBE_B_START program=low
1771001459450100474 PROBE_B_END program=low
1771001459652793318 PROBE_B_START program=low
1771001459685920458 PROBE_B_END program=low
1771001459888466653 PROBE_B_START program=low
1771001459920159660 PROBE_B_END program=low
1771001460122789819 PROBE_B_START program=low
1771001460154638808 PROBE_B_END program=low
1771001460357334985 PROBE_B_START program=low
1771001460390557384 PROBE_B_END program=low
1771001460593211284 PROBE_B_START program=low
1771001460625044272 PROBE_B_END program=low
1771001460827809469 PROBE_B_START program=low
1771001460861839850 PROBE_B_END program=low
1771001461064575880 PROBE_B_START program=low
1771001461095439385 PROBE_B_END program=low
1771001461298061248 PROBE_B_START program=low
1771001461393906511 PROBE_B_END program=low
1771001461596611892 PROBE_B_START program=low
1771001461684396787 PROBE_B_END program=low
1771001461887248743 PROBE_B_START program=low
1771001461974046285 PROBE_B_END program=low
1771001462176709573 PROBE_B_START program=low
1771001462433991229 PROBE_B_END program=low
1771001462636684592 PROBE_B_START program=low
1771001462712877501 PROBE_B_END program=low
1771001462915666772 PROBE_B_START program=low
1771001462995928986 PROBE_B_END program=low
1771001463198509163 PROBE_B_START program=low
1771001463232895898 PROBE_B_END program=low
1771001463435509853 PROBE_B_START program=low
1771001463469082716 PROBE_B_END program=low
1771001463671799338 PROBE_B_START program=low
1771001463702791214 PROBE_B_END program=low
1771001463905621633 PROBE_B_START program=low
1771001463937734622 PROBE_B_END program=low
1771001464140490966 PROBE_B_START program=low
1771001464173566865 PROBE_B_END program=low
1771001464376262765 PROBE_B_START program=low
