procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3257936  91936 556224    0    0    36   292  540    1  0  1 98  1  0  0
 1  0      0 3211456  91936 556256    0    0     0  5336 5081 8621  4 11 72 13  0  0
 2  0      0 3200000  91936 556256    0    0     0  5052 4392 7897  4 11 72 13  0  0
 0  1      0 3224176  91936 556256    0    0     0  5280 4989 8512  4 12 72 13  0  0
 0  1      0 3212192  91936 556256    0    0     0  4536 4637 7737  3  9 73 15  0  0
 1  0      0 3190960  91936 556256    0    0     0  4716 4698 7891  3 11 72 15  0  0
 0  1      0 3183296  91936 556256    0    0     0  5120 5118 8564  3 10 73 14  0  0
 1  0      0 3159920  91936 556256    0    0     0  5224 5247 8606  5  9 73 13  0  0
 0  1      0 3157776  91936 556256    0    0     0  5084 4870 8318  4 11 72 13  0  0
 0  1      0 3154912  91936 556256    0    0     0  5252 5164 8614  4 11 72 13  0  0
 0  1      0 3161200  91936 556256    0    0     0  5308 5196 8751  4 10 73 13  0  0
 1  0      0 3168336  91936 556256    0    0     0  5032 5039 8276  3 10 72 15  0  0
 0  1      0 3141008  91936 556256    0    0     0  4540 4601 7534  3  9 72 16  0  0
 0  1      0 3142400  91936 556272    0    0     0  4432 4761 7563  4  8 73 15  0  0
 1  0      0 3136592  91936 556272    0    0     0  4992 4903 8293  4 10 73 14  0  0
 2  0      0 3136976  91936 556272    0    0     0  5512 5090 8730  4 11 73 13  0  0
 0  1      0 3160096  91936 556272    0    0     0  2864 3511 5321  2  6 72 20  0  0
 1  0      0 3139664  91936 556272    0    0     0  5312 5068 8603  4 10 72 13  0  0
 1  1      0 3155488  91936 556288    0    0     0  5056 4755 7969  3 11 72 14  0  0
 0  1      0 3165632  91936 556288    0    0     0  5036 4700 8017  3 11 71 14  0  0
 1  0      0 3130560  91936 556288    0    0     0  5288 5249 8798  4 10 73 14  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 3120496  91936 556288    0    0     0  5316 5136 8680  4 11 72 13  0  0
 0  1      0 3108784  91936 556288    0    0     0  5104 5133 8755  4 10 73 14  0  0
 1  0      0 3113536  91936 556288    0    0     0  5292 5245 8915  4 10 72 13  0  0
 0  1      0 3103152  91936 556288    0    0     0  4592 4617 7729  4  9 72 15  0  0
 4  0      0 3117328  91936 556288    0    0     0  4768 4786 7995  3 11 70 16  0  0
 1  0      0 3142112  91936 556304    0    0     0  5352 6213 10110  4 12 71 13  0  0
 0  1      0 3153504  91936 556320    0    0     0  5340 5031 8557  3 11 73 13  0  0
 1  0      0 3136224  91936 556320    0    0     0  4976 4922 8199  3 12 72 14  0  0
 0  1      0 3127568  91936 556320    0    0     0  5260 5084 8622  3 12 72 13  0  0
 0  1      0 3151968  91936 556320    0    0     0  5384 5327 8766  4 10 73 13  0  0
 1  0      0 3149152  91936 556320    0    0     0  5632 5249 9052  4 11 72 12  0  0
 0  1      0 3176144  91936 556320    0    0     0  4668 4585 7665  4  9 72 14  0  0
 1  0      0 3131056  91936 556320    0    0     0  4012 4196 6696  2 10 72 16  0  0
 0  1      0 3099664  91936 556320    0    0     0  5768 5598 9469  4 12 72 12  0  0
 1  0      0 3126528  91936 556320    0    0     0  4340 4210 7005  3  9 71 16  0  0
 0  1      0 3129392  91936 556320    0    0     0  5284 5040 8695  4 11 72 13  0  0
 2  0      0 3136160  91936 556320    0    0     0  5296 4964 8488  5 10 72 13  0  0
 1  0      0 3138816  91936 556336    0    0     0  5160 4740 7899  4  9 73 14  0  0
 1  0      0 3144944  91936 556320    0    0     0  5580 5030 8601  3 12 72 13  0  0
 0  1      0 3132592  91936 556336    0    0     0  5496 5389 8863  4 11 72 13  0  0
 0  1      0 3139216  91936 556336    0    0     0  5264 4890 8175  4 10 73 14  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 3154144  91936 556336    0    0     0  5516 5022 8512  5  9 73 13  0  0
 0  1      0 3162848  91936 556336    0    0     0  4464 4210 6972  3  9 72 16  0  0
 2  0      0 3136880  91936 556336    0    0     0  5088 4839 8015  3 10 73 14  0  0
 0  1      0 3165312  91936 556336    0    0     0  5392 5125 8491  4 12 71 13  0  0
 1  0      0 3176480  91936 556336    0    0     0  5364 5184 8713  5 11 71 13  0  0
 2  0      0 3164880  91936 556336    0    0     0  5264 4719 8080  4 10 72 14  0  0
 0  1      0 3180112  91936 556336    0    0     0  5504 5135 8697  4 11 72 13  0  0
 1  0      0 3198256  91936 556336    0    0     0  5904 5243 8941  4 11 73 13  0  0
 0  1      0 3139456  91936 556336    0    0     0  5076 4613 7760  4 10 72 14  0  0
 1  0      0 3155200  91936 556352    0    0     0  5624 5108 8658  4 11 71 13  0  0
 0  1      0 3144128  91936 556352    0    0     0  4960 4755 7706  3  9 71 17  0  0
 0  1      0 3170112  91936 556352    0    0     0  3112 3102 4802  3  6 71 21  0  0
 1  0      0 3169744  91936 556352    0    0     0  5768 5011 8618  4 10 72 13  0  0
 0  1      0 3174128  91936 556368    0    0     0  6140 5277 9182  4 12 72 12  0  0
 1  0      0 3179312  91936 556368    0    0     0  4652 4628 7520  3 11 72 15  0  0
 2  0      0 3141136  91936 556368    0    0     0  6144 5715 9660  5 12 71 12  0  0
 2  0      0 3160944  91936 556368    0    0     0  6268 6713 10935  5 11 71 12  0  0
 0  1      0 3109680  91936 556384    0    0     0  4444 4349 7115  3  9 73 15  0  0
