run,cycle,phase,hb_samples,hb_p50_ns,hb_p95_ns,hb_p99_ns,hb_max_ns,spikes_over_200ms,mem_samples,memavail_mean_kb,dirty_mean_kb,writeback_mean_kb,slab_mean_kb,retry_samples,retry_p95_ms,retry_p99_ms,retry_max_ms,retry_outside
2026-01-30_003155_day7_off3_n1,1,BASELINE,98,101673479,101759018,103009690,103009690,0,9,3904897.78,135.11,0,53212.44,,,,,
2026-01-30_003155_day7_off3_n1,1,INTERVENTION,96,101439756,123402979,187098625,187098625,0,10,3812147.2,270.4,44.8,54526.4,6,237,237,237,0
2026-01-30_003155_day7_off3_n1,1,RECOVERY_R1,99,101320994,101767676,102004721,102004721,0,10,3819140.8,304,0,55235.2,,,,,
2026-01-30_003155_day7_off3_n1,1,RECOVERY_R2,2940,101309344,101731885,102019574,1082953390,5,299,3890978.3,131.64,0.05,55485.06,,,,,
2026-01-30_003155_day7_off3_n1,1,POSTBASELINE,98,101687038,101765611,101965351,101965351,0,10,3896542.4,68.8,0,55648,,,,,
2026-01-30_004152_day7_off3_n3,1,BASELINE,590,101666307,101743879,101784511,101992512,0,59,3900783.19,73.76,0,55742.64,,,,,
2026-01-30_004152_day7_off3_n3,1,INTERVENTION,1703,101490143,131324946,200958186,273851045,18,179,3755351.69,220.51,64.63,59285.01,108,324,420,432,0
2026-01-30_004152_day7_off3_n3,1,RECOVERY_R1,1772,101343301,101744703,102002208,307439632,1,180,3883000.53,100.89,0.8,60579.82,,,,,
2026-01-30_004152_day7_off3_n3,1,RECOVERY_R2,2955,101701571,104214675,106991256,950569433,1,301,3885768.03,266.1,122.74,61436.7,,,,,
2026-01-30_004152_day7_off3_n3,1,POSTBASELINE,590,101678901,101764200,101802918,101875497,0,60,3892447.2,94.13,0.27,62400,,,,,
2026-01-30_004152_day7_off3_n3,2,BASELINE,590,101684779,101769211,101829820,101947735,0,59,3894548.34,121.22,0,62385.63,,,,,
2026-01-30_004152_day7_off3_n3,2,INTERVENTION,1673,101529338,132209601,199765968,1925426968,16,177,3757716.07,228.43,44.47,63127.14,99,372,2231,2231,0
2026-01-30_004152_day7_off3_n3,2,RECOVERY_R1,1773,101334511,101736262,102000987,146644402,0,179,3881579.44,100.47,0.8,63345.16,,,,,
2026-01-30_004152_day7_off3_n3,2,RECOVERY_R2,2937,101694478,104202288,106204305,108257354,0,299,3886545.07,99.26,0,63333.24,,,,,
2026-01-30_004152_day7_off3_n3,2,POSTBASELINE,590,101665657,101748327,101812275,102064902,0,60,3888877.6,111.47,0,63232,,,,,
2026-01-30_004152_day7_off3_n3,3,BASELINE,590,101679347,101774284,101817114,102630196,0,60,3896002.4,109.6,0,63232.27,,,,,
2026-01-30_004152_day7_off3_n3,3,INTERVENTION,1657,101568105,134675190,211872495,2317762126,20,176,3746854.82,241.09,72.45,63553.27,105,383,433,472,0
2026-01-30_004152_day7_off3_n3,3,RECOVERY_R1,1769,101340291,101767553,102077090,479506801,1,179,3883169.79,113.16,0,63759.55,,,,,
2026-01-30_004152_day7_off3_n3,3,RECOVERY_R2,2937,101703626,104236080,107225777,108514010,0,299,3888845.97,49.87,0.11,63654.37,,,,,
2026-01-30_004152_day7_off3_n3,3,POSTBASELINE,590,101677191,101765281,101830888,102979893,0,60,3891976.8,32.8,0,63504,,,,,
2026-01-30_012914_day7_off2_n3,1,BASELINE,590,101680877,101769004,101810949,101943009,0,59,3894888.95,34.17,0,63456,,,,,
2026-01-30_012914_day7_off2_n3,1,INTERVENTION,1672,101455692,135960286,223945616,512097554,24,178,3768967.55,265.62,44.31,63701.03,118,292,423,635,0
2026-01-30_012914_day7_off2_n3,1,RECOVERY_R1,1773,101643151,101757361,101888858,102325328,0,180,3884983.82,64.44,1.87,63792.8,,,,,
2026-01-30_012914_day7_off2_n3,1,RECOVERY_R2,2938,101691699,104249884,107001120,109696210,0,299,3885166.45,47.89,0.16,63719.06,,,,,
2026-01-30_012914_day7_off2_n3,1,POSTBASELINE,590,101677486,101774493,101825004,101938418,0,60,3894725.33,95.73,0,63648,,,,,
2026-01-30_012914_day7_off2_n3,2,BASELINE,590,101671003,101752662,101793958,101819713,0,60,3898497.33,121.6,0,63648,,,,,
2026-01-30_012914_day7_off2_n3,2,INTERVENTION,1669,101461150,135767354,213944199,768880886,24,177,3761713.27,259.89,39.86,63818.58,139,304,976,1914,0
2026-01-30_012914_day7_off2_n3,2,RECOVERY_R1,1771,101644776,101745560,101810893,340502358,1,179,3884617.83,105.83,0,63812.65,,,,,
2026-01-30_012914_day7_off2_n3,2,RECOVERY_R2,2938,101699444,104237092,106331916,107894490,0,299,3889490.62,89.69,0,63800.08,,,,,
2026-01-30_012914_day7_off2_n3,2,POSTBASELINE,590,101678964,101762326,101811550,101940431,0,60,3894306.67,125.6,0,63872,,,,,
2026-01-30_012914_day7_off2_n3,3,BASELINE,590,101674904,101758745,101815465,102138101,0,60,3893096,138.67,0,63872,,,,,
2026-01-30_012914_day7_off2_n3,3,INTERVENTION,1675,101435576,135426108,207129147,1619030397,25,176,3762766.64,244.91,43.45,63969,111,391,587,1998,0
2026-01-30_012914_day7_off2_n3,3,RECOVERY_R1,1773,101643581,101749838,101827475,151138750,0,180,3881410.67,166.49,0.18,64139.82,,,,,
2026-01-30_012914_day7_off2_n3,3,RECOVERY_R2,2937,101699170,104227326,107157138,109351665,0,299,3887896.67,104.56,0,64070.1,,,,,
2026-01-30_012914_day7_off2_n3,3,POSTBASELINE,590,101673722,101764422,101825483,102149728,0,59,3892556.75,126.64,0,64064,,,,,
