run_name | off | probes | program | fileMB | cycles | marks | hb_lines | mem_lines | cycles_present | retry_outside_dtms
-------- | --- | ------ | ------- | ------ | ------ | ----- | -------- | --------- | ------------- | ------------------
2026-02-06_141146_day8_off3_low_n1 | 3 | 0 | low | 64 | 1 | 10 | 968 | 99 | yes | 0
2026-02-06_141345_day8_off3_LOW_n1 | 3 | 1 | LOW | 64 | 1 | 10 | 3334 | 338 | yes | 0
2026-02-06_162232_day8_off3_low_n3 | 3 | 0 | low | 64 | 3 | 30 | 22732 | 2327 | yes | 0
2026-02-06_170349_day8_off2_low_n3 | 2 | 0 | low | 64 | 3 | 30 | 22804 | 2326 | yes | 0
2026-02-06_174855_day8_off3_LOW_n3 | 3 | 1 | LOW | 64 | 3 | 30 | 22793 | 2328 | yes | 0
2026-02-06_215734_day8_off3_HIGH_n3 | 3 | 1 | HIGH | 64 | 3 | 30 | 20352 | 2084 | yes | 0
2026-02-06_223358_day8_off3_LOW_n3 | 3 | 1 | LOW | 64 | 3 | 30 | 22766 | 2331 | yes | 0
2026-02-06_231953_day8_off3_LOW_n3 | 3 | 1 | LOW | 256 | 3 | 30 | 22710 | 2326 | yes | 0
2026-02-07_142628_day8_off3_HIGH_n3 | 3 | 1 | HIGH | 64 | 3 | 30 | 22743 | 2327 | yes | 0
2026-02-07_150710_day8_off2_low_n3 | 2 | 0 | low | 64 | 3 | 30 | 22782 | 2330 | yes | 0
2026-02-07_154800_day8_off2_LOW_n3 | 2 | 1 | LOW | 64 | 3 | 30 | 22723 | 2326 | yes | 0
2026-02-07_162954_day8_off2_HIGH_n3 | 2 | 1 | HIGH | 64 | 3 | 30 | 22714 | 2326 | yes | 0
