1770408974218818469 R2_IDLE_A seconds=20
1770408994222765131 PROBE_A_START program=HIGH
1770408994234867847 PROBE_A_END program=HIGH
1770408994437740579 PROBE_A_START program=HIGH
1770408994449834813 PROBE_A_END program=HIGH
1770408994652677379 PROBE_A_START program=HIGH
1770408994665674282 PROBE_A_END program=HIGH
1770408994868494828 PROBE_A_START program=HIGH
1770408994881560269 PROBE_A_END program=HIGH
1770408995084507612 PROBE_A_START program=HIGH
1770408995098343221 PROBE_A_END program=HIGH
1770408995301166971 PROBE_A_START program=HIGH
1770408995313367335 PROBE_A_END program=HIGH
1770408995516254993 PROBE_A_START program=HIGH
1770408995529327748 PROBE_A_END program=HIGH
1770408995732159999 PROBE_A_START program=HIGH
1770408995745130531 PROBE_A_END program=HIGH
1770408995947974874 PROBE_A_START program=HIGH
1770408995960126201 PROBE_A_END program=HIGH
1770408996162959026 PROBE_A_START program=HIGH
1770408996176031077 PROBE_A_END program=HIGH
1770408996378839883 PROBE_A_START program=HIGH
1770408996390893728 PROBE_A_END program=HIGH
1770408996593757071 PROBE_A_START program=HIGH
1770408996606703122 PROBE_A_END program=HIGH
1770408996809532428 PROBE_A_START program=HIGH
1770408996822143312 PROBE_A_END program=HIGH
1770408997025182248 PROBE_A_START program=HIGH
1770408997037497908 PROBE_A_END program=HIGH
1770408997240273029 PROBE_A_START program=HIGH
1770408997253347969 PROBE_A_END program=HIGH
1770408997456215905 PROBE_A_START program=HIGH
1770408997468390250 PROBE_A_END program=HIGH
1770408997671216649 PROBE_A_START program=HIGH
1770408997683323235 PROBE_A_END program=HIGH
1770408997886179726 PROBE_A_START program=HIGH
1770408997899139629 PROBE_A_END program=HIGH
1770408998102039620 PROBE_A_START program=HIGH
1770408998114103391 PROBE_A_END program=HIGH
1770408998317013012 PROBE_A_START program=HIGH
1770408998330061915 PROBE_A_END program=HIGH
1770408998532991925 PROBE_A_START program=HIGH
1770408998545234789 PROBE_A_END program=HIGH
1770408998748115984 PROBE_A_START program=HIGH
1770408998760875868 PROBE_A_END program=HIGH
1770408998963680173 PROBE_A_START program=HIGH
1770408998975848371 PROBE_A_END program=HIGH
1770408999178677010 PROBE_A_START program=HIGH
1770408999190826522 PROBE_A_END program=HIGH
1770408999393673957 PROBE_A_START program=HIGH
1770408999405832988 PROBE_A_END program=HIGH
1770408999608683793 PROBE_A_START program=HIGH
1770408999621685678 PROBE_A_END program=HIGH
1770408999824518021 PROBE_A_START program=HIGH
1770408999836715700 PROBE_A_END program=HIGH
1770409000039584024 PROBE_A_START program=HIGH
1770409000051782647 PROBE_A_END program=HIGH
1770409000254636490 PROBE_A_START program=HIGH
1770409000267747134 PROBE_A_END program=HIGH
1770409000470623217 PROBE_A_START program=HIGH
1770409000482821563 PROBE_A_END program=HIGH
1770409000685675832 PROBE_A_START program=HIGH
1770409000698655327 PROBE_A_END program=HIGH
1770409000901366596 PROBE_A_START program=HIGH
1770409000914433573 PROBE_A_END program=HIGH
1770409001117286786 PROBE_A_START program=HIGH
1770409001130233892 PROBE_A_END program=HIGH
1770409001332984216 PROBE_A_START program=HIGH
1770409001345663674 PROBE_A_END program=HIGH
1770409001548481665 PROBE_A_START program=HIGH
1770409001560627436 PROBE_A_END program=HIGH
1770409001763516260 PROBE_A_START program=HIGH
1770409001776588256 PROBE_A_END program=HIGH
1770409001979338062 PROBE_A_START program=HIGH
1770409001991834852 PROBE_A_END program=HIGH
1770409002194629639 PROBE_A_START program=HIGH
1770409002207673542 PROBE_A_END program=HIGH
1770409002410486903 PROBE_A_START program=HIGH
1770409002424254345 PROBE_A_END program=HIGH
1770409002627106058 PROBE_A_START program=HIGH
1770409002639740646 PROBE_A_END program=HIGH
1770409002842508470 PROBE_A_START program=HIGH
1770409002855550558 PROBE_A_END program=HIGH
1770409003058359512 PROBE_A_START program=HIGH
1770409003071324359 PROBE_A_END program=HIGH
1770409003274160776 PROBE_A_START program=HIGH
1770409003287158271 PROBE_A_END program=HIGH
1770409003489909688 PROBE_A_START program=HIGH
1770409003502511052 PROBE_A_END program=HIGH
1770409003705224617 PROBE_A_START program=HIGH
1770409003716854905 PROBE_A_END program=HIGH
1770409003919563599 PROBE_A_START program=HIGH
1770409003932143242 PROBE_A_END program=HIGH
1770409004134926640 PROBE_A_START program=HIGH
1770409004147057300 PROBE_A_END program=HIGH
1770409004349823865 PROBE_A_START program=HIGH
1770409004363615603 PROBE_A_END program=HIGH
1770409004566460390 PROBE_A_START program=HIGH
1770409004578611068 PROBE_A_END program=HIGH
1770409004781449078 PROBE_A_START program=HIGH
1770409004794438981 PROBE_A_END program=HIGH
1770409004997323971 PROBE_A_START program=HIGH
1770409005010458652 PROBE_A_END program=HIGH
1770409005213348995 PROBE_A_START program=HIGH
1770409005225530914 PROBE_A_END program=HIGH
1770409005428460683 PROBE_A_START program=HIGH
1770409005441624883 PROBE_A_END program=HIGH
1770409005644557892 PROBE_A_START program=HIGH
1770409005656664719 PROBE_A_END program=HIGH
1770409005859569765 PROBE_A_START program=HIGH
1770409005871786814 PROBE_A_END program=HIGH
1770409006074660582 PROBE_A_START program=HIGH
1770409006086758298 PROBE_A_END program=HIGH
1770409006289651196 PROBE_A_START program=HIGH
1770409006303523897 PROBE_A_END program=HIGH
1770409006506480703 PROBE_A_START program=HIGH
1770409006519623199 PROBE_A_END program=HIGH
1770409006722524079 PROBE_A_START program=HIGH
1770409006735525759 PROBE_A_END program=HIGH
1770409006938415713 PROBE_A_START program=HIGH
1770409006950591318 PROBE_A_END program=HIGH
1770409007153491623 PROBE_A_START program=HIGH
1770409007166583600 PROBE_A_END program=HIGH
1770409007369492220 PROBE_A_START program=HIGH
1770409007381708362 PROBE_A_END program=HIGH
1770409007584635594 PROBE_A_START program=HIGH
1770409007596868717 PROBE_A_END program=HIGH
1770409007799777967 PROBE_A_START program=HIGH
1770409007812678870 PROBE_A_END program=HIGH
1770409008015576231 PROBE_A_START program=HIGH
1770409008028701708 PROBE_A_END program=HIGH
1770409008231591587 PROBE_A_START program=HIGH
1770409008244811824 PROBE_A_END program=HIGH
1770409008447718537 PROBE_A_START program=HIGH
1770409008460799533 PROBE_A_END program=HIGH
1770409008663671949 PROBE_A_START program=HIGH
1770409008676852630 PROBE_A_END program=HIGH
1770409008879696547 PROBE_A_START program=HIGH
1770409008892837246 PROBE_A_END program=HIGH
1770409009095696366 PROBE_A_START program=HIGH
1770409009108636676 PROBE_A_END program=HIGH
1770409009311451019 PROBE_A_START program=HIGH
1770409009323663123 PROBE_A_END program=HIGH
1770409009526545447 PROBE_A_START program=HIGH
1770409009538696366 PROBE_A_END program=HIGH
1770409009741489690 PROBE_A_START program=HIGH
1770409009754090518 PROBE_A_END program=HIGH
1770409009956968360 PROBE_A_START program=HIGH
1770409009969812929 PROBE_A_END program=HIGH
1770409010172682586 PROBE_A_START program=HIGH
1770409010185796212 PROBE_A_END program=HIGH
1770409010388630906 PROBE_A_START program=HIGH
1770409010401753568 PROBE_A_END program=HIGH
1770409010604611836 PROBE_A_START program=HIGH
1770409010617770166 PROBE_A_END program=HIGH
1770409010820620989 PROBE_A_START program=HIGH
1770409010833777226 PROBE_A_END program=HIGH
1770409011036627179 PROBE_A_START program=HIGH
1770409011048774765 PROBE_A_END program=HIGH
1770409011251622126 PROBE_A_START program=HIGH
1770409011264706084 PROBE_A_END program=HIGH
1770409011467584408 PROBE_A_START program=HIGH
1770409011480705941 PROBE_A_END program=HIGH
1770409011683737617 PROBE_A_START program=HIGH
1770409011697598448 PROBE_A_END program=HIGH
1770409011900345178 PROBE_A_START program=HIGH
1770409011913398952 PROBE_A_END program=HIGH
1770409012116229349 PROBE_A_START program=HIGH
1770409012129325123 PROBE_A_END program=HIGH
1770409012332144557 PROBE_A_START program=HIGH
1770409012345067682 PROBE_A_END program=HIGH
1770409012547951691 PROBE_A_START program=HIGH
1770409012560966539 PROBE_A_END program=HIGH
