1770413213251799743 R2_IDLE_A seconds=60
1770413273255742936 PROBE_A_START program=LOW
1770413273267898601 PROBE_A_END program=LOW
1770413273470712255 PROBE_A_START program=LOW
1770413273482841290 PROBE_A_END program=LOW
1770413273685684295 PROBE_A_START program=LOW
1770413273697796609 PROBE_A_END program=LOW
1770413273900644707 PROBE_A_START program=LOW
1770413273912714872 PROBE_A_END program=LOW
1770413274115544358 PROBE_A_START program=LOW
1770413274128409117 PROBE_A_END program=LOW
1770413274331207345 PROBE_A_START program=LOW
1770413274343260361 PROBE_A_END program=LOW
1770413274546066848 PROBE_A_START program=LOW
1770413274558300754 PROBE_A_END program=LOW
1770413274761084296 PROBE_A_START program=LOW
1770413274774208666 PROBE_A_END program=LOW
1770413274976917857 PROBE_A_START program=LOW
1770413274989676486 PROBE_A_END program=LOW
1770413275192346472 PROBE_A_START program=LOW
1770413275203927673 PROBE_A_END program=LOW
1770413275406692438 PROBE_A_START program=LOW
1770413275419727363 PROBE_A_END program=LOW
1770413275622545332 PROBE_A_START program=LOW
1770413275634673052 PROBE_A_END program=LOW
1770413275837363780 PROBE_A_START program=LOW
1770413275849630167 PROBE_A_END program=LOW
1770413276052526320 PROBE_A_START program=LOW
1770413276065209579 PROBE_A_END program=LOW
1770413276267979047 PROBE_A_START program=LOW
1770413276280995639 PROBE_A_END program=LOW
1770413276483793200 PROBE_A_START program=LOW
1770413276495894569 PROBE_A_END program=LOW
1770413276698667944 PROBE_A_START program=LOW
1770413276711744888 PROBE_A_END program=LOW
1770413276914504930 PROBE_A_START program=LOW
1770413276926554873 PROBE_A_END program=LOW
1770413277129334008 PROBE_A_START program=LOW
1770413277141425154 PROBE_A_END program=LOW
1770413277344213456 PROBE_A_START program=LOW
1770413277356315861 PROBE_A_END program=LOW
1770413277559098089 PROBE_A_START program=LOW
1770413277571232328 PROBE_A_END program=LOW
1770413277774099963 PROBE_A_START program=LOW
1770413277786394443 PROBE_A_END program=LOW
1770413277989142540 PROBE_A_START program=LOW
1770413278002100855 PROBE_A_END program=LOW
1770413278204885341 PROBE_A_START program=LOW
1770413278218024637 PROBE_A_END program=LOW
1770413278420838624 PROBE_A_START program=LOW
1770413278433737382 PROBE_A_END program=LOW
1770413278636576869 PROBE_A_START program=LOW
1770413278649538517 PROBE_A_END program=LOW
1770413278852297448 PROBE_A_START program=LOW
1770413278864406872 PROBE_A_END program=LOW
1770413279067171081 PROBE_A_START program=LOW
1770413279079287338 PROBE_A_END program=LOW
1770413279282099010 PROBE_A_START program=LOW
1770413279295215602 PROBE_A_END program=LOW
1770413279498061052 PROBE_A_START program=LOW
1770413279510230235 PROBE_A_END program=LOW
1770413279713108759 PROBE_A_START program=LOW
1770413279725856628 PROBE_A_END program=LOW
1770413279928765356 PROBE_A_START program=LOW
1770413279940844373 PROBE_A_END program=LOW
1770413280143649674 PROBE_A_START program=LOW
1770413280155849580 PROBE_A_END program=LOW
1770413280358650548 PROBE_A_START program=LOW
1770413280371766585 PROBE_A_END program=LOW
1770413280574463719 PROBE_A_START program=LOW
1770413280587070088 PROBE_A_END program=LOW
1770413280789750575 PROBE_A_START program=LOW
1770413280801375720 PROBE_A_END program=LOW
1770413281004136744 PROBE_A_START program=LOW
1770413281017268021 PROBE_A_END program=LOW
1770413281220091934 PROBE_A_START program=LOW
1770413281232186117 PROBE_A_END program=LOW
1770413281434988733 PROBE_A_START program=LOW
1770413281447988288 PROBE_A_END program=LOW
1770413281650766738 PROBE_A_START program=LOW
1770413281664570201 PROBE_A_END program=LOW
1770413281867827651 PROBE_A_START program=LOW
1770413281880046039 PROBE_A_END program=LOW
1770413282082810729 PROBE_A_START program=LOW
1770413282095976099 PROBE_A_END program=LOW
1770413282298743529 PROBE_A_START program=LOW
1770413282311790659 PROBE_A_END program=LOW
1770413282514454923 PROBE_A_START program=LOW
1770413282527565848 PROBE_A_END program=LOW
1770413282730345298 PROBE_A_START program=LOW
1770413282742570796 PROBE_A_END program=LOW
1770413282945394968 PROBE_A_START program=LOW
1770413282957497410 PROBE_A_END program=LOW
1770413283160239508 PROBE_A_START program=LOW
1770413283173290248 PROBE_A_END program=LOW
1770413283376089790 PROBE_A_START program=LOW
1770413283390157569 PROBE_A_END program=LOW
1770413283592943610 PROBE_A_START program=LOW
1770413283605955629 PROBE_A_END program=LOW
1770413283808671800 PROBE_A_START program=LOW
1770413283820308501 PROBE_A_END program=LOW
1770413284023065117 PROBE_A_START program=LOW
1770413284036127135 PROBE_A_END program=LOW
1770413284238894029 PROBE_A_START program=LOW
1770413284251012305 PROBE_A_END program=LOW
1770413284453802087 PROBE_A_START program=LOW
1770413284465891289 PROBE_A_END program=LOW
1770413284668696572 PROBE_A_START program=LOW
1770413284681740072 PROBE_A_END program=LOW
1770413284884548058 PROBE_A_START program=LOW
1770413284897457205 PROBE_A_END program=LOW
1770413285100196951 PROBE_A_START program=LOW
1770413285113399802 PROBE_A_END program=LOW
1770413285316198103 PROBE_A_START program=LOW
1770413285329532177 PROBE_A_END program=LOW
1770413285532483608 PROBE_A_START program=LOW
1770413285544996329 PROBE_A_END program=LOW
1770413285747863538 PROBE_A_START program=LOW
1770413285760897593 PROBE_A_END program=LOW
1770413285963754968 PROBE_A_START program=LOW
1770413285975897504 PROBE_A_END program=LOW
1770413286178734230 PROBE_A_START program=LOW
1770413286190893488 PROBE_A_END program=LOW
1770413286393810067 PROBE_A_START program=LOW
1770413286408124476 PROBE_A_END program=LOW
1770413286610964758 PROBE_A_START program=LOW
1770413286624047536 PROBE_A_END program=LOW
1770413286826895503 PROBE_A_START program=LOW
1770413286840378374 PROBE_A_END program=LOW
1770413287043280860 PROBE_A_START program=LOW
1770413287055494044 PROBE_A_END program=LOW
1770413287258379882 PROBE_A_START program=LOW
1770413287272154068 PROBE_A_END program=LOW
1770413287475040406 PROBE_A_START program=LOW
1770413287488004868 PROBE_A_END program=LOW
1770413287690871169 PROBE_A_START program=LOW
1770413287703888632 PROBE_A_END program=LOW
1770413287906750414 PROBE_A_START program=LOW
1770413287919901006 PROBE_A_END program=LOW
1770413288122723715 PROBE_A_START program=LOW
1770413288134865565 PROBE_A_END program=LOW
1770413288337709681 PROBE_A_START program=LOW
1770413288350711569 PROBE_A_END program=LOW
1770413288553573296 PROBE_A_START program=LOW
1770413288566543147 PROBE_A_END program=LOW
1770413288769426022 PROBE_A_START program=LOW
1770413288782529689 PROBE_A_END program=LOW
1770413288985383323 PROBE_A_START program=LOW
1770413288998239174 PROBE_A_END program=LOW
1770413289201226660 PROBE_A_START program=LOW
1770413289213312992 PROBE_A_END program=LOW
1770413289416168756 PROBE_A_START program=LOW
1770413289428365958 PROBE_A_END program=LOW
1770413289631215981 PROBE_A_START program=LOW
1770413289643393702 PROBE_A_END program=LOW
1770413289846265169 PROBE_A_START program=LOW
1770413289858405816 PROBE_A_END program=LOW
1770413290061270579 PROBE_A_START program=LOW
1770413290074440746 PROBE_A_END program=LOW
1770413290277331843 PROBE_A_START program=LOW
1770413290289590008 PROBE_A_END program=LOW
1770413290492464198 PROBE_A_START program=LOW
1770413290504644067 PROBE_A_END program=LOW
1770413290707504275 PROBE_A_START program=LOW
1770413290720566274 PROBE_A_END program=LOW
1770413290923435835 PROBE_A_START program=LOW
1770413290937317298 PROBE_A_END program=LOW
1770413291140088951 PROBE_A_START program=LOW
1770413291153030598 PROBE_A_END program=LOW
1770413291355868695 PROBE_A_START program=LOW
1770413291368008731 PROBE_A_END program=LOW
1770413291570879846 PROBE_A_START program=LOW
1770413291583044437 PROBE_A_END program=LOW
1770413291785959164 PROBE_A_START program=LOW
1770413291798119885 PROBE_A_END program=LOW
1770413292001005204 PROBE_A_START program=LOW
1770413292013220406 PROBE_A_END program=LOW
1770413292216060355 PROBE_A_START program=LOW
1770413292229010540 PROBE_A_END program=LOW
1770413292431886322 PROBE_A_START program=LOW
1770413292444166561 PROBE_A_END program=LOW
1770413292647000343 PROBE_A_START program=LOW
1770413292660185806 PROBE_A_END program=LOW
1770413292863129218 PROBE_A_START program=LOW
1770413292875768550 PROBE_A_END program=LOW
1770413293078577055 PROBE_A_START program=LOW
1770413293091511573 PROBE_A_END program=LOW
1770413293294352206 PROBE_A_START program=LOW
1770413293307522317 PROBE_A_END program=LOW
1770413293510317581 PROBE_A_START program=LOW
1770413293522461264 PROBE_A_END program=LOW
1770413293725300491 PROBE_A_START program=LOW
1770413293738368194 PROBE_A_END program=LOW
1770413293941159198 PROBE_A_START program=LOW
1770413293953310215 PROBE_A_END program=LOW
1770413294156141201 PROBE_A_START program=LOW
1770413294168279348 PROBE_A_END program=LOW
1770413294371070130 PROBE_A_START program=LOW
1770413294384053518 PROBE_A_END program=LOW
1770413294586845374 PROBE_A_START program=LOW
1770413294600845171 PROBE_A_END program=LOW
1770413294803544675 PROBE_A_START program=LOW
1770413294815784507 PROBE_A_END program=LOW
1770413295018555289 PROBE_A_START program=LOW
1770413295031523307 PROBE_A_END program=LOW
1770413295234292959 PROBE_A_START program=LOW
1770413295247248181 PROBE_A_END program=LOW
1770413295450057778 PROBE_A_START program=LOW
1770413295462158054 PROBE_A_END program=LOW
1770413295664980058 PROBE_A_START program=LOW
1770413295678050872 PROBE_A_END program=LOW
1770413295880854414 PROBE_A_START program=LOW
1770413295893019523 PROBE_A_END program=LOW
1770413296095820157 PROBE_A_START program=LOW
1770413296108875805 PROBE_A_END program=LOW
1770413296311657735 PROBE_A_START program=LOW
1770413296324797642 PROBE_A_END program=LOW
1770413296527620405 PROBE_A_START program=LOW
1770413296540418182 PROBE_A_END program=LOW
1770413296743212612 PROBE_A_START program=LOW
1770413296755354888 PROBE_A_END program=LOW
1770413296958140929 PROBE_A_START program=LOW
1770413296970300280 PROBE_A_END program=LOW
1770413297173109043 PROBE_A_START program=LOW
1770413297186207580 PROBE_A_END program=LOW
1770413297388968232 PROBE_A_START program=LOW
1770413297401038619 PROBE_A_END program=LOW
1770413297603861308 PROBE_A_START program=LOW
1770413297615934177 PROBE_A_END program=LOW
1770413297818705662 PROBE_A_START program=LOW
1770413297830910216 PROBE_A_END program=LOW
1770413298033615239 PROBE_A_START program=LOW
1770413298045368125 PROBE_A_END program=LOW
1770413298248059351 PROBE_A_START program=LOW
1770413298260485461 PROBE_A_END program=LOW
1770413298463249150 PROBE_A_START program=LOW
1770413298476286743 PROBE_A_END program=LOW
1770413298679085821 PROBE_A_START program=LOW
1770413298692018802 PROBE_A_END program=LOW
1770413298894804194 PROBE_A_START program=LOW
1770413298906952397 PROBE_A_END program=LOW
1770413299109754363 PROBE_A_START program=LOW
1770413299122914697 PROBE_A_END program=LOW
1770413299325745089 PROBE_A_START program=LOW
1770413299338868978 PROBE_A_END program=LOW
1770413299541708149 PROBE_A_START program=LOW
1770413299553882832 PROBE_A_END program=LOW
1770413299756698003 PROBE_A_START program=LOW
1770413299769677373 PROBE_A_END program=LOW
1770413299972509414 PROBE_A_START program=LOW
1770413299984639782 PROBE_A_END program=LOW
1770413300187421268 PROBE_A_START program=LOW
1770413300199529229 PROBE_A_END program=LOW
1770413300402429640 PROBE_A_START program=LOW
1770413300415119880 PROBE_A_END program=LOW
1770413300617968366 PROBE_A_START program=LOW
1770413300630918050 PROBE_A_END program=LOW
1770413300833722165 PROBE_A_START program=LOW
1770413300846742776 PROBE_A_END program=LOW
1770413301049560706 PROBE_A_START program=LOW
1770413301062545242 PROBE_A_END program=LOW
1770413301265313561 PROBE_A_START program=LOW
1770413301277343689 PROBE_A_END program=LOW
1770413301480144082 PROBE_A_START program=LOW
1770413301493412785 PROBE_A_END program=LOW
1770413301696222530 PROBE_A_START program=LOW
1770413301709226826 PROBE_A_END program=LOW
1770413301912012533 PROBE_A_START program=LOW
1770413301924182569 PROBE_A_END program=LOW
1770413302126941683 PROBE_A_START program=LOW
1770413302140890684 PROBE_A_END program=LOW
1770413302343806781 PROBE_A_START program=LOW
1770413302355912520 PROBE_A_END program=LOW
1770413302558688172 PROBE_A_START program=LOW
1770413302570837096 PROBE_A_END program=LOW
1770413302773625026 PROBE_A_START program=LOW
1770413302785718728 PROBE_A_END program=LOW
1770413302988485509 PROBE_A_START program=LOW
1770413303001459046 PROBE_A_END program=LOW
1770413303204188105 PROBE_A_START program=LOW
1770413303217306642 PROBE_A_END program=LOW
1770413303420207034 PROBE_A_START program=LOW
1770413303433336645 PROBE_A_END program=LOW
1770413303636159723 PROBE_A_START program=LOW
1770413303648320777 PROBE_A_END program=LOW
1770413303851198114 PROBE_A_START program=LOW
